fid,cod_prov,nom_prov,pob2001,pob2010,pob2022,viv2022,hog_int_22
1,2,Ciudad Autónoma de Buenos Aires,2776138,2892544,3121707,1614354,90.0
2,58,Neuquén,474155,551039,710814,283756,77.1
3,74,San Luis,367933,432204,542069,204364,78.2
4,82,Santa Fe,3000701,3192718,3544908,1450807,76.8
5,46,La Rioja,289983,334121,383865,148070,75.0
6,10,Catamarca,334568,367556,429562,156168,63.7
7,90,Tucumán,1338523,1447886,1731820,552986,64.2
8,22,Chaco,984446,1055337,1129606,411116,62.0
9,34,Formosa,486559,530132,607419,218558,56.4
10,78,Santa Cruz,196958,271036,337226,134840,85.2
11,26,Chubut,413237,509194,592621,240945,78.6
12,50,Mendoza,1579651,1739227,2043540,701357,75.0
13,30,Entre Ríos,1158147,1236959,1425578,557956,74.0
14,70,San Juan,620023,680970,822853,263402,63.6
15,38,Jujuy,611888,673574,811611,266244,66.7
16,86,Santiago d,804457,873352,1060906,345428,46.7
17,62,Rí­o Negro,552822,639142,750768,307730,75.1
18,18,Corrientes,930991,992259,1212696,408470,56.8
19,54,Misiones,965522,1101071,1278873,464102,61.4
20,66,Salta,1079051,1214482,1441351,457992,62.7
21,14,Córdoba,3066801,3306600,3840905,1614694,77.8
22,94,Tierra del,101079,126252,185732,69757,82.6
23,6,Buenos Air,13827203,15625150,17523996,6745665,81.4
24,42,La Pampa,299294,319293,361859,164268,85.6
