fid,gid,nam,provincia,name_es,in1,id,fdc,sag,value
"1","373",Junín,San Luis,Junín,"74049","1032",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"40361"
"2","371",General Pedernera,San Luis,General Pedernera,"74035","1033",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"148875"
"3","77",Ayacucho,San Luis,Ayacucho,"74007","1034",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"23913"
"4","41",Gobernador Dupuy,San Luis,Gobernador Dupuy,"74042","1035",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"14343"
"5","370",Juan Martín de Pueyrredón,San Luis,Juan Martín de Pueyrredón,"74056","1036",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"261697"
"19","10",Las Flores,Buenos Aires,Las Flores,"06455","1050",ARBA - Gerencia de Servicios Catastrales,IGN,"27239"
"20","11",Rojas,Buenos Aires,Rojas,"06686","1051",ARBA - Gerencia de Servicios Catastrales,IGN,"25627"
"21","12",Escobar,Buenos Aires,Escobar,"06252","1052",ARBA - Gerencia de Servicios Catastrales,IGN,"256268"
"40","34",Vicente López,Buenos Aires,Vicente López,"06861","1071",ARBA - Gerencia de Servicios Catastrales,IGN,"282281"
"41","144",Curacó,La Pampa,Curacó,"42042","1072",Direc. Grl. de Catastro,IGN,"1116"
"42","155",Antártida Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Antártida Argentina,"94028","1073",SCAR,IGN,"81"
"43","80",Tulumba,Córdoba,Tulumba,"14175","1074",IDE Cordoba,IGN,"14134"
"44","81",Cruz del Eje,Córdoba,Cruz del Eje,"14028","1075",IDE Cordoba,IGN,"67112"
"6","484",Chacabuco,San Luis,Chacabuco,"74028","1037",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"26557"
"7","482",Libertador General San Martín,San Luis,Libertador General San Martín,"74063","1038",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"4691"
"8","183",Belgrano,San Luis,Belgrano,"74014","1039",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"5583"
"9","483",Coronel Pringles,San Luis,Coronel Pringles,"74021","1040",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"16049"
"10","1",Concordia,Entre Ríos,Concordia,"30015","1041",ATER - Direc. de Catastro,IGN,"198802"
"11","2",Federal,Entre Ríos,Federal,"30035","1042",ATER - Direc. de Catastro,IGN,"29667"
"12","3",Gualeguaychú,Entre Ríos,Gualeguaychú,"30056","1043",ATER - Direc. de Catastro,IGN,"126147"
"13","4",Islas del Ibicuy,Entre Ríos,Islas del Ibicuy,"30063","1044",ATER - Direc. de Catastro,IGN,"14000"
"14","5",Victoria,Entre Ríos,Victoria,"30105","1045",ATER - Direc. de Catastro,IGN,"40652"
"15","6",Diamante,Entre Ríos,Diamante,"30021","1046",ATER - Direc. de Catastro,IGN,"53595"
"16","7",Uruguay,Entre Ríos,Uruguay,"30098","1047",ATER - Direc. de Catastro,IGN,"116356"
"17","8",Paraná,Entre Ríos,Paraná,"30084","1048",ATER - Direc. de Catastro,IGN,"391696"
"18","9",Saladillo,Buenos Aires,Saladillo,"06707","1049",ARBA - Gerencia de Servicios Catastrales,IGN,"35656"
"22","13",José C. Paz,Buenos Aires,José C. Paz,"06412","1053",ARBA - Gerencia de Servicios Catastrales,IGN,"326992"
"23","14",San Antonio de Areco,Buenos Aires,San Antonio de Areco,"06735","1054",ARBA - Gerencia de Servicios Catastrales,IGN,"26897"
"38","32",La Costa,Buenos Aires,La Costa,"06420","1069",ARBA - Gerencia de Servicios Catastrales,IGN,"100689"
"39","33",Magdalena,Buenos Aires,Magdalena,"06505","1070",ARBA - Gerencia de Servicios Catastrales,IGN,"26830"
"24","15",Maipú,Buenos Aires,Maipú,"06511","1055",ARBA - Gerencia de Servicios Catastrales,IGN,"11323"
"25","16",O'Higgins,Chaco,O'Higgins,"22112","1056",Direc. Pcial. de Catastro y CartografÃ­a,IGN,"21579"
"26","17",Moreno,Buenos Aires,Moreno,"06560","1057",ARBA - Gerencia de Servicios Catastrales,IGN,"576632"
"27","18",La Matanza,Buenos Aires,La Matanza,"06427","1058",ARBA - Gerencia de Servicios Catastrales,IGN,"1841247"
"28","22",Tandil,Buenos Aires,Tandil,"06791","1059",ARBA - Gerencia de Servicios Catastrales,IGN,"145575"
"29","23",Coronel Suárez,Buenos Aires,Coronel Suárez,"06203","1060",ARBA - Gerencia de Servicios Catastrales,IGN,"42110"
"30","24",Adolfo Gonzales Chaves,Buenos Aires,Adolfo Gonzales Chaves,"06014","1061",ARBA - Gerencia de Servicios Catastrales,IGN,"12914"
"31","25",Bahía Blanca,Buenos Aires,Bahía Blanca,"06056","1062",ARBA - Gerencia de Servicios Catastrales,IGN,"336574"
